地点名,block_no,要素,期間,月,旬,階級区分1,階級区分2,階級区分3,階級区分4,階級区分5,階級区分6
南大東島,47945,気温,1月上旬,1,上旬,15.9,16.3,17.9,19.0,20.3,20.6
南大東島,47945,気温,1月中旬,1,中旬,16.0,16.6,17.5,18.9,19.6,20.7
南大東島,47945,気温,1月下旬,1,下旬,15.9,16.4,17.4,18.0,19.1,20.4
南大東島,47945,気温,2月上旬,2,上旬,15.2,16.0,16.9,17.9,19.2,19.9
南大東島,47945,気温,2月中旬,2,中旬,15.8,16.6,17.7,18.5,20.0,21.3
南大東島,47945,気温,2月下旬,2,下旬,15.3,16.7,18.0,19.5,20.6,21.5
南大東島,47945,気温,3月上旬,3,上旬,16.3,16.5,18.1,19.2,21.1,22.0
南大東島,47945,気温,3月中旬,3,中旬,17.7,17.8,18.9,19.6,21.4,21.8
南大東島,47945,気温,3月下旬,3,下旬,17.7,18.3,19.5,20.6,22.1,23.1
南大東島,47945,気温,4月上旬,4,上旬,19.0,19.3,20.1,21.0,22.4,23.3
南大東島,47945,気温,4月中旬,4,中旬,19.4,20.1,21.0,22.1,23.0,23.4
南大東島,47945,気温,4月下旬,4,下旬,19.8,20.3,21.9,23.2,24.3,24.9
南大東島,47945,気温,5月上旬,5,上旬,21.2,21.8,22.5,24.0,24.9,26.9
南大東島,47945,気温,5月中旬,5,中旬,21.1,22.0,23.5,24.6,26.5,27.1
南大東島,47945,気温,5月下旬,5,下旬,22.4,23.2,24.3,25.2,26.0,26.9
南大東島,47945,気温,6月上旬,6,上旬,23.9,24.3,25.2,26.4,27.0,27.5
南大東島,47945,気温,6月中旬,6,中旬,25.1,25.4,26.3,27.1,28.3,28.7
南大東島,47945,気温,6月下旬,6,下旬,26.4,27.0,28.0,28.4,29.3,29.7
南大東島,47945,気温,7月上旬,7,上旬,27.3,27.7,28.5,29.1,29.6,29.9
南大東島,47945,気温,7月中旬,7,中旬,27.0,28.2,28.4,28.8,29.4,29.7
南大東島,47945,気温,7月下旬,7,下旬,26.7,27.6,28.5,29.1,29.3,29.7
南大東島,47945,気温,8月上旬,8,上旬,26.3,27.3,28.3,29.0,29.5,30.5
南大東島,47945,気温,8月中旬,8,中旬,26.2,27.6,28.5,28.9,29.3,30.4
南大東島,47945,気温,8月下旬,8,下旬,26.9,27.6,28.1,28.8,29.4,29.9
南大東島,47945,気温,9月上旬,9,上旬,27.2,27.2,27.8,28.7,29.0,29.7
南大東島,47945,気温,9月中旬,9,中旬,26.1,26.9,27.7,28.4,29.0,29.3
南大東島,47945,気温,9月下旬,9,下旬,25.6,26.2,27.1,27.8,28.4,28.9
南大東島,47945,気温,10月上旬,10,上旬,24.8,25.2,26.4,27.2,27.9,28.5
南大東島,47945,気温,10月中旬,10,中旬,24.4,24.7,25.4,26.2,27.5,28.6
南大東島,47945,気温,10月下旬,10,下旬,23.3,23.8,24.2,25.4,26.2,26.8
南大東島,47945,気温,11月上旬,11,上旬,21.5,22.5,23.7,24.7,25.5,26.3
南大東島,47945,気温,11月中旬,11,中旬,20.9,21.3,22.6,23.3,24.4,25.0
南大東島,47945,気温,11月下旬,11,下旬,19.3,20.7,21.5,22.8,23.3,23.8
南大東島,47945,気温,12月上旬,12,上旬,18.7,18.8,20.2,21.5,22.3,23.1
南大東島,47945,気温,12月中旬,12,中旬,17.1,18.5,19.1,20.0,21.6,22.4
南大東島,47945,気温,12月下旬,12,下旬,16.3,16.8,17.9,19.3,20.6,21.6
南大東島,47945,日照時間,1月上旬,1,上旬,22.9,28.8,34.7,44.4,52.3,60.5
南大東島,47945,日照時間,1月中旬,1,中旬,17.7,24.3,30.7,45.4,51.9,72.9
南大東島,47945,日照時間,1月下旬,1,下旬,11.7,24.8,38.4,50.5,54.8,61.5
南大東島,47945,日照時間,2月上旬,2,上旬,17.1,23.6,29.6,46.1,58.1,72.7
南大東島,47945,日照時間,2月中旬,2,中旬,9.8,24.3,36.7,48.4,65.0,71.2
南大東島,47945,日照時間,2月下旬,2,下旬,8.2,14.2,30.7,48.8,57.9,68.7
南大東島,47945,日照時間,3月上旬,3,上旬,10.7,31.2,37.6,48.6,61.2,73.5
南大東島,47945,日照時間,3月中旬,3,中旬,23.6,32.1,40.6,57.7,69.5,79.3
南大東島,47945,日照時間,3月下旬,3,下旬,28.4,34.0,53.3,70.9,77.6,99.0
南大東島,47945,日照時間,4月上旬,4,上旬,8.6,26.7,39.1,59.7,83.1,85.3
南大東島,47945,日照時間,4月中旬,4,中旬,29.8,31.5,47.2,56.3,79.8,96.1
南大東島,47945,日照時間,4月下旬,4,下旬,22.3,30.6,37.0,57.6,67.0,89.1
南大東島,47945,日照時間,5月上旬,5,上旬,27.0,41.0,49.7,66.2,90.0,107.0
南大東島,47945,日照時間,5月中旬,5,中旬,7.5,27.6,40.9,61.3,87.9,96.6
南大東島,47945,日照時間,5月下旬,5,下旬,18.0,27.7,45.2,63.8,83.2,99.0
南大東島,47945,日照時間,6月上旬,6,上旬,22.0,25.8,42.8,68.3,81.1,123.7
南大東島,47945,日照時間,6月中旬,6,中旬,14.0,29.0,46.7,82.9,105.2,115.2
南大東島,47945,日照時間,6月下旬,6,下旬,35.2,75.8,92.9,107.4,119.6,125.6
南大東島,47945,日照時間,7月上旬,7,上旬,53.3,62.6,93.4,107.7,118.0,121.2
南大東島,47945,日照時間,7月中旬,7,中旬,45.2,65.0,84.2,98.3,109.8,117.3
南大東島,47945,日照時間,7月下旬,7,下旬,49.7,67.4,91.1,101.7,110.8,115.6
南大東島,47945,日照時間,8月上旬,8,上旬,43.4,47.9,67.3,82.3,97.9,104.2
南大東島,47945,日照時間,8月中旬,8,中旬,57.9,62.9,76.7,98.5,106.7,117.4
南大東島,47945,日照時間,8月下旬,8,下旬,36.8,56.4,80.7,101.4,109.9,111.2
南大東島,47945,日照時間,9月上旬,9,上旬,18.9,55.1,72.5,85.0,99.0,108.9
南大東島,47945,日照時間,9月中旬,9,中旬,29.7,53.1,66.7,84.5,91.4,96.6
南大東島,47945,日照時間,9月下旬,9,下旬,30.1,48.1,64.9,78.2,86.6,89.7
南大東島,47945,日照時間,10月上旬,10,上旬,33.6,39.4,54.1,73.0,84.6,88.7
南大東島,47945,日照時間,10月中旬,10,中旬,17.0,31.7,47.5,63.9,74.2,81.4
南大東島,47945,日照時間,10月下旬,10,下旬,15.4,36.7,60.4,70.7,79.1,90.4
南大東島,47945,日照時間,11月上旬,11,上旬,33.1,35.8,42.7,52.7,67.2,80.1
南大東島,47945,日照時間,11月中旬,11,中旬,2.8,19.3,36.3,52.3,67.8,70.8
南大東島,47945,日照時間,11月下旬,11,下旬,15.9,25.8,37.3,51.4,57.2,78.1
南大東島,47945,日照時間,12月上旬,12,上旬,13.8,24.8,29.2,45.5,58.2,72.5
南大東島,47945,日照時間,12月中旬,12,中旬,9.5,15.9,27.7,48.2,54.4,56.0
南大東島,47945,日照時間,12月下旬,12,下旬,17.4,30.6,37.3,47.5,57.7,87.2
南大東島,47945,降水量,1月上旬,1,上旬,0.0,1.5,6.5,29.2,59.5,78.0
南大東島,47945,降水量,1月中旬,1,中旬,0.0,2.5,16.2,38.5,53.2,66.0
南大東島,47945,降水量,1月下旬,1,下旬,0.0,3.0,15.0,39.0,57.2,76.0
南大東島,47945,降水量,2月上旬,2,上旬,0.0,0.0,6.5,22.0,88.7,270.5
南大東島,47945,降水量,2月中旬,2,中旬,0.0,1.2,7.7,24.7,93.7,132.5
南大東島,47945,降水量,2月下旬,2,下旬,0.0,0.0,3.7,21.5,56.5,64.0
南大東島,47945,降水量,3月上旬,3,上旬,0.0,0.7,10.5,39.0,58.2,77.5
南大東島,47945,降水量,3月中旬,3,中旬,0.0,0.2,10.5,37.7,71.5,134.5
南大東島,47945,降水量,3月下旬,3,下旬,1.0,1.7,7.5,33.2,64.0,89.0
南大東島,47945,降水量,4月上旬,4,上旬,0.0,0.0,6.5,34.5,99.2,137.5
南大東島,47945,降水量,4月中旬,4,中旬,0.0,0.7,11.0,58.5,110.2,166.5
南大東島,47945,降水量,4月下旬,4,下旬,1.5,4.7,19.0,33.0,61.2,156.5
南大東島,47945,降水量,5月上旬,5,上旬,0.0,0.5,14.5,52.2,97.0,149.0
南大東島,47945,降水量,5月中旬,5,中旬,1.0,5.5,32.0,84.7,124.2,249.5
南大東島,47945,降水量,5月下旬,5,下旬,0.0,8.5,51.5,144.5,280.7,385.5
南大東島,47945,降水量,6月上旬,6,上旬,0.0,5.0,23.5,121.2,232.5,294.0
南大東島,47945,降水量,6月中旬,6,中旬,0.0,6.2,33.2,79.7,215.5,417.0
南大東島,47945,降水量,6月下旬,6,下旬,0.0,0.0,0.0,12.5,37.0,133.5
南大東島,47945,降水量,7月上旬,7,上旬,0.0,0.0,3.0,24.2,101.2,128.5
南大東島,47945,降水量,7月中旬,7,中旬,0.0,0.5,4.0,37.5,92.7,203.0
南大東島,47945,降水量,7月下旬,7,下旬,0.0,0.5,7.2,43.5,109.0,473.5
南大東島,47945,降水量,8月上旬,8,上旬,1.5,6.7,19.2,84.5,155.5,288.0
南大東島,47945,降水量,8月中旬,8,中旬,0.0,0.0,4.2,27.7,110.0,335.0
南大東島,47945,降水量,8月下旬,8,下旬,0.5,4.2,14.5,39.2,96.7,292.0
南大東島,47945,降水量,9月上旬,9,上旬,0.0,2.7,12.2,63.7,232.7,337.0
南大東島,47945,降水量,9月中旬,9,中旬,0.0,0.7,13.2,35.7,90.0,492.5
南大東島,47945,降水量,9月下旬,9,下旬,0.0,1.2,11.0,57.2,98.5,306.0
南大東島,47945,降水量,10月上旬,10,上旬,0.5,3.2,11.2,55.7,142.2,272.0
南大東島,47945,降水量,10月中旬,10,中旬,0.0,1.5,17.2,69.0,141.5,191.5
南大東島,47945,降水量,10月下旬,10,下旬,0.0,0.2,11.7,58.0,258.7,345.0
南大東島,47945,降水量,11月上旬,11,上旬,0.0,0.7,9.7,33.2,61.0,114.5
南大東島,47945,降水量,11月中旬,11,中旬,0.0,3.2,16.2,54.7,112.5,173.0
南大東島,47945,降水量,11月下旬,11,下旬,0.0,1.7,6.5,50.2,113.5,322.5
南大東島,47945,降水量,12月上旬,12,上旬,0.0,0.2,7.5,34.0,119.2,142.0
南大東島,47945,降水量,12月中旬,12,中旬,1.0,6.5,20.2,40.7,75.0,119.0
南大東島,47945,降水量,12月下旬,12,下旬,0.0,3.2,19.2,55.2,118.7,154.0
